symbol,company_name,industry,sector,city,latitude,longitude,state,country
TYL,Tyler Technologies Inc.,Software - Application,Technology,Plano,33.0136764,-96.6925096,TX,United States
NVR,NVR Inc.,Residential Construction,Consumer Discretionary,Reston,38.953282,-77.34645162,VA,United States
WBD,Warner Bros. Discovery Inc.,Entertainment,Communication Services,New York,40.7127281,-74.0060152,NY,United States
TROW,T. Rowe Price Group Inc.,Asset Management,Financial Services,Baltimore,39.2908816,-76.610759,MD,United States
LYB,LyondellBasell Industries N.V.,Specialty Chemicals,Materials,Houston,29.7589382,-95.3676974,TX,United States
WST,West Pharmaceutical Services Inc.,Medical Instruments & Supplies,Healthcare,Exton,40.0299755,-75.62904556,PA,United States
AEE,Ameren Corporation,Utilities - Regulated Electric,Utilities,Saint Louis,38.6280278,-90.1910154,MO,United States
DTE,DTE Energy Company,Utilities - Regulated Electric,Utilities,Detroit,42.3315509,-83.0466403,MI,United States
HAL,Halliburton Company,Oil & Gas Equipment & Services,Energy,Houston,29.7589382,-95.3676974,TX,United States
HBAN,Huntington Bancshares Incorporated,Banks - Regional,Financial Services,Columbus,39.9622601,-83.0007065,OH,United States
WAT,Waters Corporation,Diagnostics & Research,Healthcare,Milford,42.1428913,-71.5164618,MA,United States
HUBB,Hubbell Incorporated,Electrical Equipment & Parts,Industrials,Shelton,41.3164856,-73.0931641,CT,United States
ADM,Archer-Daniels-Midland Company,Farm Products,Consumer Staples,Chicago,41.8755616,-87.6244212,IL,United States
PPL,PPL Corporation,Utilities - Regulated Electric,Utilities,Allentown,40.6022059,-75.4712794,PA,United States
FE,FirstEnergy Corp.,Utilities - Regulated Electric,Utilities,Akron,41.083064,-81.518485,OH,United States
TDY,Teledyne Technologies Incorporated,Scientific & Technical Instruments,Technology,Thousand Oaks,34.1705609,-118.8375937,CA,United States
ON,ON Semiconductor Corporation,Semiconductors,Technology,Scottsdale,33.4942189,-111.926018,AZ,United States
DVN,Devon Energy Corporation,Oil & Gas Exploration & Production,Energy,Oklahoma City,35.4729886,-97.5170536,OK,United States
PHM,PulteGroup Inc.,Residential Construction,Consumer Discretionary,Atlanta,33.7489924,-84.3902644,GA,United States
LII,Lennox International Inc.,Building Products & Equipment,Industrials,Richardson,32.9481789,-96.7297206,TX,United States
WDC,Western Digital Corporation,Computer Hardware,Technology,San Jose,37.3361663,-121.890591,CA,United States
AWK,American Water Works Company Inc.,Utilities - Regulated Water,Utilities,Camden,39.9448402,-75.1198911,NJ,United States
ROL,Rollins Inc.,Personal Services,Consumer Discretionary,Atlanta,33.7489924,-84.3902644,GA,United States
STX,Seagate Technology Holdings plc,Computer Hardware,Technology,Singapore,1.352083,103.819836,NaN,Singapore
PTC,PTC Inc.,Software - Application,Technology,Boston,42.3554334,-71.060511,MA,United States
EXPE,Expedia Group Inc.,Travel Services,Consumer Discretionary,Seattle,47.6038321,-122.330062,WA,United States
NRG,NRG Energy Inc.,Utilities - Independent Power Producers,Utilities,Houston,29.7589382,-95.3676974,TX,United States
FOXA,Fox Corporation,Entertainment,Communication Services,New York,40.7127281,-74.0060152,NY,United States
EIX,Edison International,Utilities - Regulated Electric,Utilities,Rosemead,34.0676169,-118.0879763,CA,United States
IFF,International Flavors & Fragrances Inc.,Specialty Chemicals,Materials,New York,40.7127281,-74.0060152,NY,United States
ZBH,Zimmer Biomet Holdings Inc.,Medical Devices,Healthcare,Warsaw,41.2381017,-85.8530544,IN,United States
ATO,Atmos Energy Corporation,Utilities - Regulated Gas,Utilities,Dallas,32.7762719,-96.7968559,TX,United States
RF,Regions Financial Corporation,Banks - Regional,Financial Services,Birmingham,33.5206824,-86.8024326,AL,United States
DRI,Darden Restaurants Inc.,Restaurants,Consumer Discretionary,Orlando,28.5421109,-81.3790304,FL,United States
WY,Weyerhaeuser Company,REIT - Specialty,Real Estate,Seattle,47.6038321,-122.330062,WA,United States
ZBRA,Zebra Technologies Corporation,Communication Equipment,Technology,Lincolnshire,42.1900249,-87.9084039,IL,United States
NTRS,Northern Trust Corporation,Asset Management,Financial Services,Chicago,41.8755616,-87.6244212,IL,United States
WRB,W. R. Berkley Corporation,Insurance - Property & Casualty,Financial Services,Greenwich,41.0264862,-73.6284598,CT,United States
CTRA,Coterra Energy Inc.,Oil & Gas Exploration & Production,Energy,Houston,29.7589382,-95.3676974,TX,United States
TER,Teradyne Inc.,Semiconductor Equipment & Materials,Technology,North Reading,42.5750939,-71.0786653,MA,United States
STE,STERIS plc,Medical Devices,Healthcare,Mentor,41.6664781,-81.3399769,OH,United States
FOX,Fox Corporation,Entertainment,Communication Services,New York,40.7127281,-74.0060152,NY,United States
SBAC,SBA Communications Corporation,REIT - Specialty,Real Estate,Boca Raton,26.3586885,-80.0830984,FL,United States
PKG,Packaging Corporation of America,Packaging & Containers,Consumer Discretionary,Lake Forest,42.2586461,-87.8407055,IL,United States
CINF,Cincinnati Financial Corporation,Insurance - Property & Casualty,Financial Services,Fairfield,39.7886111,-82.6418883,OH,United States
CNP,CenterPoint Energy Inc.,Utilities - Regulated Electric,Utilities,Houston,29.7589382,-95.3676974,TX,United States
CBOE,Cboe Global Markets Inc.,Financial Data & Stock Exchanges,Financial Services,Chicago,41.8755616,-87.6244212,IL,United States
BIIB,Biogen Inc.,Drug Manufacturers - General,Healthcare,Cambridge,42.3656347,-71.1040018,MA,United States
CFG,Citizens Financial Group Inc.,Banks - Regional,Financial Services,Providence,41.8239891,-71.4128343,RI,United States
ES,Eversource Energy,Utilities - Regulated Electric,Utilities,Springfield,42.1018764,-72.5886727,MA,United States
LH,Labcorp Holdings Inc.,Diagnostics & Research,Healthcare,Burlington,36.0956918,-79.4377991,NC,United States
IP,International Paper Company,Packaging & Containers,Consumer Discretionary,Memphis,35.1460249,-90.0517638,TN,United States
MKC,McCormick & Company Incorporated,Packaged Foods,Consumer Staples,Hunt Valley,39.4962709,-76.6542571,MD,United States
TSN,Tyson Foods Inc.,Farm Products,Consumer Staples,Springdale,36.1867442,-94.1288142,AR,United States
CLX,The Clorox Company,Household & Personal Products,Consumer Staples,Oakland,37.8044557,-122.271356,CA,United States
LDOS,Leidos Holdings Inc.,Information Technology Services,Technology,Reston,38.953282,-77.34645162,VA,United States
